regex,vendor,category,hq,critical,description,criticalWHY,srctxtrecord,srcHQ
successfactors-site-verification=,SAP SuccessFactors,hr,DE,yes,Enterprise ressource management and contolling,,https://userapps.support.sap.com/sap/support/knowledge/en/3419773,
mailigen-site-verification=,Mailigen,email_marketing,LV,no,,,,
mailerlite-domain-verification=,MailerLite,email_marketing,LT,no,,,,
_telesec-domain-validation,T-Systems TeleSec,certificate,DE,no,,"unless an emergency, certificates can wait a day or two",,
pexip-ms-tenant-domain-verification=,Pexip,video,NO,no,,video calls can be substituted easily,,
pexip-portal-domain-verification=,Pexip,video,NO,no,,video calls can be substituted easily,,
detectify-verification=,Detectify,security,SE,no,,,,
^brevo-code:,Brevo,email_marketing,FR,no,,,,
jetbrains-domain-verification=,JetBrains,development,CZ,yes,,,,
dailymotion-domain-verification=,Dailymotion,video,FR,no,,video calls can be substituted easily,https://faq.dailymotion.com/hc/en-us/articles/115008958347-Verify-your-domains,
heyhack-verification=,Heyhack,security,DK,no,,,,
mistral-domain-verification=,Mistral AI,ai,FR,no,,,https://help.mistral.ai/en/articles/424356-read-first-why-should-i-verify-my-domain,
ubivox-site-verification=,Ubivox,email_marketing,DK,on,,,,
favro-verification=,Favro,project_management,SE,no,Project Management Util,"Temp confusion, but no stop to automated production systems ",,
^protonmail-verification=,Proton Mail,email,CH,yes,,email pipeline disruption,,
actalis-dcv,Actalis,certificate,IT,no,,"unless an emergency, certificates can wait a day or two",,
microsec-verification,Microsec,certificate,HU,no,,"unless an emergency, certificates can wait a day or two",,
swisssign-check,SwissSign,certificate,CH,no,,"unless an emergency, certificates can wait a day or two",,
^D-TRUST,D-Trust,certificate,DE,no,,"unless an emergency, certificates can wait a day or two",,
_netlock,Netlock,certificate,HU,no,,"unless an emergency, certificates can wait a day or two",,
^Certeurope,Certeurope,certificate,FR,no,,"unless an emergency, certificates can wait a day or two",,
include:spf\.mailjet\.com,Mailjet,email,FR,yes,,,,
include:_spf\.cineca\.it,CINECA,email,IT,yes,,,,
include:.*musvc\.com,MailUp,email_marketing,IT,no,,,,
include:spf\.sendinblue\.com,Brevo,email_marketing,FR,no,,,,
include:_spf\.rulemailer\.com,Rule,email_marketing,SE,no,,,,
include:_spf\.tech\.ec\.europa\.eu,EU Commission,email,EU,yes,,,,
include:_spf\.smaily\.com,Smaily,email_marketing,EE,no,,,,
include:_senderidstd\.bec\.dk,BEC,email,DK,yes,,,,
include:_spf\.perfora\.net,IONOS,email,DE,yes,,,,
include:_spf\.kundenserver\.de,IONOS,email,DE,yes,,,,
include:_mailcust\.gandi\.net,Gandi,email,FR,yes,,,,
